JobNumber,Name,LastName,Date,CubicFoot,Income,MoversCommission,OtherExpenses
1,Mary,Martinez,2022-11-15,941,1600,616.0000000,480.00000
2,Mary,Brown,2023-06-25,732,1200,462.0000000,360.00000
3,Michael,Garcia,2022-03-14,710,1234,475.0900000,370.20000
4,Mary,Smith,2022-08-03,1142,2125,818.1250000,637.50000
5,Mary,Garcia,2024-01-14,752,1000,385.0000000,300.00000
6,James,Johnson,2023-01-20,1150,2023,778.8550000,606.90000
7,Patricia,Miller,2022-05-11,485,699,269.1150000,209.70000
8,Robert,Davis,2023-11-03,950,1015,390.7750000,304.50000
9,Jennifer,Rodriguez,2022-07-22,367,367,141.2950000,110.10000
10,William,Smith,2023-03-15,1234,1771,681.8350000,531.30000
11,John,Williams,2023-02-17,998,758,291.8300000,227.40000
12,Elizabeth,Brown,2022-04-21,634,789,303.7650000,236.70000
13,William,Johnson,2023-07-30,789,999,384.6150000,299.70000
14,Jennifer,Davis,2022-06-15,567,901,346.8850000,270.30000
15,Michael,Rodriguez,2023-09-10,456,599,230.6150000,179.70000
16,Patricia,Smith,2022-12-22,1120,1399,538.6150000,419.70000
17,Robert,Martinez,2023-05-18,825,999,384.6150000,299.70000
18,Linda,Garcia,2022-03-29,390,666,256.4100000,199.80000
19,James,Miller,2023-08-05,550,719,276.8150000,215.70000
20,Mary,Jones,2022-11-11,950,999,384.6150000,299.70000
30,William,Garcia,2024-01-13,500,615,236.7750000,184.50000
31,John,Johnson,2023-06-07,449,830,319.5500000,249.00000
32,John,Johnson,2023-12-10,180,325,125.1250000,97.50000
33,Linda,Williams,2022-08-21,1217,1880,723.8000000,564.00000
34,William,Garcia,2022-06-20,955,1212,466.6200000,363.60000
35,Michael,Brown,2024-01-04,341,549,211.3650000,164.70000
36,Jennifer,Williams,2022-11-28,1221,1746,672.2100000,523.80000
37,James,Brown,2023-11-08,1217,1499,577.1150000,449.70000
38,John,Garcia,2023-11-22,601,699,269.1150000,209.70000
39,Michael,Davis,2023-11-05,221,399,153.6150000,119.70000
40,Patricia,Garcia,2022-10-30,828,999,384.6150000,299.70000
41,Jennifer,Miller,2023-09-03,1342,1699,654.1150000,509.70000
42,William,Williams,2022-12-25,784,850,327.2500000,255.00000
43,Jennifer,Garcia,2024-02-03,1405,1788,688.3800000,536.40000
44,Patricia,Williams,2023-07-28,1357,1500,577.5000000,450.00000
45,James,Jones,2023-04-07,350,466,179.4100000,139.80000
46,Linda,Miller,2023-06-12,821,999,384.6150000,299.70000
47,John,Garcia,2024-01-01,1473,1200,462.0000000,360.00000
48,Robert,Johnson,2022-03-29,752,750,288.7500000,225.00000
49,Mary,Brown,2022-08-19,252,318,122.4300000,95.40000
50,John,Smith,2023-08-20,308,299,115.1150000,89.70000
51,Robert,Garcia,2022-07-04,505,499,192.1150000,149.70000
52,Mary,Williams,2023-07-13,894,894,344.1900000,268.20000
53,Michael,Johnson,2022-07-18,806,806,310.3100000,241.80000
54,William,Jones,2024-01-04,1068,1267,487.7950000,380.10000
55,Jennifer,Brown,2022-01-07,808,999,384.6150000,299.70000
56,Mary,Miller,2022-12-17,1422,1200,462.0000000,360.00000
57,Patricia,Brown,2022-10-05,270,350,134.7500000,105.00000
58,Patricia,Williams,2023-02-16,933,999,384.6150000,299.70000
59,Michael,Smith,2023-02-18,1293,1515,583.2750000,454.50000
60,Mary,Williams,2023-06-21,921,999,384.6150000,299.70000
61,Linda,Miller,2023-08-02,484,484,186.3400000,145.20000
62,Linda,Smith,2023-12-23,895,850,327.2500000,255.00000
63,Robert,Jones,2022-06-28,892,999,384.6150000,299.70000
64,Robert,Williams,2022-07-13,237,299,115.1150000,89.70000
65,Linda,Johnson,2023-05-21,1487,1700,654.5000000,510.00000
66,William,Jones,2023-01-28,1108,999,384.6150000,299.70000
67,Michael,Garcia,2023-03-12,196,389,149.7650000,116.70000
68,James,Davis,2022-05-24,804,899,346.1150000,269.70000
69,Robert,Johnson,2022-01-07,1252,1600,616.0000000,480.00000
70,John,Brown,2022-05-31,1209,1499,577.1150000,449.70000
71,Linda,Miller,2022-12-02,763,880,338.8000000,264.00000
72,Linda,Smith,2023-12-12,1272,1420,546.7000000,426.00000
73,Michael,Johnson,2023-08-31,765,850,327.2500000,255.00000
74,Linda,Smith,2022-09-04,349,349,134.3650000,104.70000
75,Linda,Jones,2024-01-26,565,699,269.1150000,209.70000
76,John,Smith,2023-01-07,523,699,269.1150000,209.70000
77,Elizabeth,Smith,2023-04-29,389,499,192.1150000,149.70000
78,James,Smith,2023-12-26,489,489,188.2650000,146.70000
79,Linda,Williams,2023-01-31,1412,1700,654.5000000,510.00000
80,Mary,Martinez,2022-01-12,1461,1698,653.7300000,509.40000
81,Linda,Miller,2022-04-19,1083,1183,455.4550000,354.90000
82,Patricia,Johnson,2023-08-12,526,626,241.0100000,187.80000
83,Linda,Rodriguez,2022-09-27,976,776,298.7600000,232.80000
84,William,Martinez,2024-02-02,1276,1076,414.2600000,322.80000
85,John,Jones,2022-03-24,441,350,134.7500000,105.00000
86,Mary,Davis,2024-01-05,1325,1525,587.1250000,457.50000
87,Elizabeth,Johnson,2023-04-26,699,699,269.1150000,209.70000
88,Linda,Jones,2023-07-16,1101,1000,385.0000000,300.00000
89,Elizabeth,Miller,2023-03-21,1025,999,384.6150000,299.70000
90,John,Rodriguez,2023-04-08,189,350,134.7500000,105.00000
91,William,Williams,2022-09-05,1329,1599,615.6150000,479.70000
92,Jennifer,Garcia,2022-08-15,882,999,384.6150000,299.70000
93,Patricia,Jones,2023-04-07,503,699,269.1150000,209.70000
94,Mary,Miller,2022-08-04,581,699,269.1150000,209.70000
95,Patricia,Smith,2023-05-05,389,599,230.6150000,179.70000
96,William,Martinez,2023-08-02,983,1200,462.0000000,360.00000
97,Robert,Davis,2023-05-15,885,999,384.6150000,299.70000
98,Linda,Martinez,2023-09-18,1010,999,384.6150000,299.70000
99,Linda,Garcia,2022-12-06,303,399,153.6150000,119.70000
100,Patricia,Davis,2022-10-13,719,699,269.1150000,209.70000
101,Mary,Smith,2023-08-03,1142,2025,779.6250000,607.50000
102,John,Garcia,2024-02-01,1473,1300,500.5000000,390.00000
103,Robert,Jones,2023-06-28,892,892,343.4200000,267.60000
104,Linda,Miller,2023-05-01,1483,1383,532.4550000,414.90000
105,John,Brown,2023-05-31,999,1199,461.6150000,359.70000
106,John,Brown,2023-05-31,999,1199,461.6150000,359.70000
107,Elizabeth,Johnson,2024-01-01,1199,1099,423.1150000,329.70000
